year,country,lifeExp,pop,gdpPercap
1952,Afghanistan,28.801,8425333,779.4453145
1952,Bahrain,50.939,120447,9867.084765
1952,Bangladesh,37.484,46886859,684.2441716
1952,Cambodia,39.417,4693836,368.4692856
1952,China,44,556263527,400.448611
1952,"Hong Kong, China",60.96,2125900,3054.421209
1952,India,37.373,372000000,546.5657493
1952,Indonesia,37.468,82052000,749.6816546
1952,Iran,44.869,17272000,3035.326002
1952,Iraq,45.32,5441766,4129.766056
1952,Israel,65.39,1620914,4086.522128
1952,Japan,63.03,86459025,3216.956347
1952,Jordan,43.158,607914,1546.907807
1952,"Korea, Dem. Rep.",50.056,8865488,1088.277758
1952,"Korea, Rep.",47.453,20947571,1030.592226
1952,Kuwait,55.565,160000,108382.3529
1952,Lebanon,55.928,1439529,4834.804067
1952,Malaysia,48.463,6748378,1831.132894
1952,Mongolia,42.244,800663,786.5668575
1952,Myanmar,36.319,20092996,331
1952,Nepal,36.157,9182536,545.8657229
1952,Oman,37.578,507833,1828.230307
1952,Pakistan,43.436,41346560,684.5971438
1952,Philippines,47.752,22438691,1272.880995
1952,Saudi Arabia,39.875,4005677,6459.554823
1952,Singapore,60.396,1127000,2315.138227
1952,Sri Lanka,57.593,7982342,1083.53203
1952,Syria,45.883,3661549,1643.485354
1952,Taiwan,58.5,8550362,1206.947913
1952,Thailand,50.848,21289402,757.7974177
1952,Vietnam,40.412,26246839,605.0664917
1952,West Bank and Gaza,43.16,1030585,1515.592329
1952,"Yemen, Rep.",32.548,4963829,781.7175761
1957,Afghanistan,30.332,9240934,820.8530296
1957,Bahrain,53.832,138655,11635.79945
1957,Bangladesh,39.348,51365468,661.6374577
1957,Cambodia,41.366,5322536,434.0383364
1957,China,50.54896,637408000,575.9870009
1957,"Hong Kong, China",64.75,2736300,3629.076457
1957,India,40.249,409000000,590.061996
1957,Indonesia,39.918,90124000,858.9002707
1957,Iran,47.181,19792000,3290.257643
1957,Iraq,48.437,6248643,6229.333562
1957,Israel,67.84,1944401,5385.278451
1957,Japan,65.5,91563009,4317.694365
1957,Jordan,45.669,746559,1886.080591
1957,"Korea, Dem. Rep.",54.081,9411381,1571.134655
1957,"Korea, Rep.",52.681,22611552,1487.593537
1957,Kuwait,58.033,212846,113523.1329
1957,Lebanon,59.489,1647412,6089.786934
1957,Malaysia,52.102,7739235,1810.066992
1957,Mongolia,45.248,882134,912.6626085
1957,Myanmar,41.905,21731844,350
1957,Nepal,37.686,9682338,597.9363558
1957,Oman,40.08,561977,2242.746551
1957,Pakistan,45.557,46679944,747.0835292
1957,Philippines,51.334,26072194,1547.944844
1957,Saudi Arabia,42.868,4419650,8157.591248
1957,Singapore,63.179,1445929,2843.104409
1957,Sri Lanka,61.456,9128546,1072.546602
1957,Syria,48.284,4149908,2117.234893
1957,Taiwan,62.4,10164215,1507.86129
1957,Thailand,53.63,25041917,793.5774148
1957,Vietnam,42.887,28998543,676.2854478
1957,West Bank and Gaza,45.671,1070439,1827.067742
1957,"Yemen, Rep.",33.97,5498090,804.8304547
1962,Afghanistan,31.997,10267083,853.10071
1962,Bahrain,56.923,171863,12753.27514
1962,Bangladesh,41.216,56839289,686.3415538
1962,Cambodia,43.415,6083619,496.9136476
1962,China,44.50136,665770000,487.6740183
1962,"Hong Kong, China",67.65,3305200,4692.648272
1962,India,43.605,454000000,658.3471509
1962,Indonesia,42.518,99028000,849.2897701
1962,Iran,49.325,22874000,4187.329802
1962,Iraq,51.457,7240260,8341.737815
1962,Israel,69.39,2310904,7105.630706
1962,Japan,68.73,95831757,6576.649461
1962,Jordan,48.126,933559,2348.009158
1962,"Korea, Dem. Rep.",56.656,10917494,1621.693598
1962,"Korea, Rep.",55.292,26420307,1536.344387
1962,Kuwait,60.47,358266,95458.11176
1962,Lebanon,62.094,1886848,5714.560611
1962,Malaysia,55.737,8906385,2036.884944
1962,Mongolia,48.251,1010280,1056.353958
1962,Myanmar,45.108,23634436,388
1962,Nepal,39.393,10332057,652.3968593
1962,Oman,43.165,628164,2924.638113
1962,Pakistan,47.67,53100671,803.3427418
1962,Philippines,54.757,30325264,1649.552153
1962,Saudi Arabia,45.914,4943029,11626.41975
1962,Singapore,65.798,1750200,3674.735572
1962,Sri Lanka,62.192,10421936,1074.47196
1962,Syria,50.305,4834621,2193.037133
1962,Taiwan,65.2,11918938,1822.879028
1962,Thailand,56.061,29263397,1002.199172
1962,Vietnam,45.363,33796140,772.0491602
1962,West Bank and Gaza,48.127,1133134,2198.956312
1962,"Yemen, Rep.",35.18,6120081,825.6232006
1967,Afghanistan,34.02,11537966,836.1971382
1967,Bahrain,59.923,202182,14804.6727
1967,Bangladesh,43.453,62821884,721.1860862
1967,Cambodia,45.415,6960067,523.4323142
1967,China,58.38112,754550000,612.7056934
1967,"Hong Kong, China",70,3722800,6197.962814
1967,India,47.193,506000000,700.7706107
1967,Indonesia,45.964,109343000,762.4317721
1967,Iran,52.469,26538000,5906.731805
1967,Iraq,54.459,8519282,8931.459811
1967,Israel,70.75,2693585,8393.741404
1967,Japan,71.43,100825279,9847.788607
1967,Jordan,51.629,1255058,2741.796252
1967,"Korea, Dem. Rep.",59.942,12617009,2143.540609
1967,"Korea, Rep.",57.716,30131000,2029.228142
1967,Kuwait,64.624,575003,80894.88326
1967,Lebanon,63.87,2186894,6006.983042
1967,Malaysia,59.371,10154878,2277.742396
1967,Mongolia,51.253,1149500,1226.04113
1967,Myanmar,49.379,25870271,349
1967,Nepal,41.472,11261690,676.4422254
1967,Oman,46.988,714775,4720.942687
1967,Pakistan,49.8,60641899,942.4082588
1967,Philippines,56.393,35356600,1814.12743
1967,Saudi Arabia,49.901,5618198,16903.04886
1967,Singapore,67.946,1977600,4977.41854
1967,Sri Lanka,64.266,11737396,1135.514326
1967,Syria,53.655,5680812,1881.923632
1967,Taiwan,67.5,13648692,2643.858681
1967,Thailand,58.285,34024249,1295.46066
1967,Vietnam,47.838,39463910,637.1232887
1967,West Bank and Gaza,51.631,1142636,2649.715007
1967,"Yemen, Rep.",36.984,6740785,862.4421463
1972,Afghanistan,36.088,13079460,739.9811058
1972,Bahrain,63.3,230800,18268.65839
1972,Bangladesh,45.252,70759295,630.2336265
1972,Cambodia,40.317,7450606,421.6240257
1972,China,63.11888,862030000,676.9000921
1972,"Hong Kong, China",72,4115700,8315.928145
1972,India,50.651,567000000,724.032527
1972,Indonesia,49.203,121282000,1111.107907
1972,Iran,55.234,30614000,9613.818607
1972,Iraq,56.95,10061506,9576.037596
1972,Israel,71.63,3095893,12786.93223
1972,Japan,73.42,107188273,14778.78636
1972,Jordan,56.528,1613551,2110.856309
1972,"Korea, Dem. Rep.",63.983,14781241,3701.621503
1972,"Korea, Rep.",62.612,33505000,3030.87665
1972,Kuwait,67.712,841934,109347.867
1972,Lebanon,65.421,2680018,7486.384341
1972,Malaysia,63.01,11441462,2849.09478
1972,Mongolia,53.754,1320500,1421.741975
1972,Myanmar,53.07,28466390,357
1972,Nepal,43.971,12412593,674.7881296
1972,Oman,52.143,829050,10618.03855
1972,Pakistan,51.929,69325921,1049.938981
1972,Philippines,58.065,40850141,1989.37407
1972,Saudi Arabia,53.886,6472756,24837.42865
1972,Singapore,69.521,2152400,8597.756202
